"Semana.Semana";BOI/GORDO/MS/Preco Medio Comercializado
"2013-12-30";106.0
"2014-01-06";106.0
"2014-01-13";106.0
"2014-01-20";105.0
"2014-01-27";107.0
"2014-02-03";108.0
"2014-02-10";109.0
"2014-02-17";110.0
"2014-02-24";112.0
"2014-03-03";114.0
"2014-03-10";118.0
"2014-03-17";118.0
"2014-03-24";118.0
"2014-03-31";118.0
"2014-04-07";118.0
"2014-04-14";118.0
"2014-04-21";118.0
"2014-04-28";119.0
"2014-05-05";116.0
"2014-05-12";116.0
"2014-05-19";113.0
"2014-05-26";113.0
"2014-06-02";116.0
"2014-06-09";118.0
"2014-06-16";118.0
"2014-06-23";117.0
"2014-06-30";116.0
"2014-07-07";116.0
"2014-07-14";116.0
"2014-07-21";115.0
"2014-07-28";115.0
"2014-08-04";117.0
"2014-08-11";118.0
"2014-08-18";119.0
"2014-08-25";120.0
"2014-09-01";122.0
"2014-09-08";123.0
"2014-09-15";122.0
"2014-09-22";124.0
"2014-09-29";124.0
"2014-10-06";125.0
"2014-10-13";126.0
"2014-10-20";128.0
"2014-10-27";130.0
"2014-11-03";132.0
"2014-11-10";135.0
"2014-11-17";136.0
"2014-11-24";136.0
"2014-12-01";136.0
"2014-12-08";136.0
"2014-12-15";136.0
"2014-12-22";136.0
"2014-12-29";136.0
"2015-01-05";136.0
"2015-01-12";136.0
"2015-01-19";137.0
"2015-01-26";136.0
"2015-02-02";136.0
"2015-02-09";136.0
"2015-02-16";137.0
"2015-02-23";137.0
"2015-03-02";137.0
"2015-03-09";138.0
"2015-03-16";138.0
"2015-03-23";140.0
"2015-03-30";140.0
"2015-04-06";141.0
"2015-04-13";142.0
"2015-04-20";143.0
"2015-04-27";143.0
"2015-05-04";141.0
"2015-05-11";141.0
"2015-05-18";140.0
"2015-05-25";140.0
"2015-06-01";140.0
"2015-06-08";140.0
"2015-06-15";140.0
"2015-06-22";140.0
"2015-06-29";140.0
"2015-07-06";138.0
"2015-07-13";138.0
"2015-07-20";136.0
"2015-07-27";135.0
"2015-08-03";135.0
"2015-08-10";135.0
"2015-08-17";135.0
"2015-08-24";135.0
"2015-08-31";135.0
"2015-09-07";134.75
"2015-09-14";135.0
"2015-09-21";135.0
"2015-09-28";135.0
"2015-10-05";136.0
"2015-10-12";137.0
"2015-10-19";137.0
"2015-10-26";139.0
"2015-11-02";139.0
"2015-11-09";139.0
"2015-11-16";139.0
"2015-11-23";138.0
"2015-11-30";135.5
"2015-12-07";131.5
"2015-12-14";132.0
"2015-12-21";132.0
"2015-12-28";132.0
"2016-01-04";136.0
"2016-01-11";135.0
"2016-01-18";136.0
"2016-01-25";138.0
"2016-02-01";138.0
"2016-02-08";138.0
"2016-02-15";139.0
"2016-02-22";138.0
"2016-02-29";140.0
"2016-03-07";137.0
"2016-03-14";137.5
"2016-03-21";137.5
"2016-03-28";139.5
"2016-04-04";141.0
"2016-04-11";142.0
"2016-04-18";140.0
"2016-04-25";141.5
"2016-05-02";140.75
"2016-05-09";139.75
"2016-05-16";139.75
"2016-05-23";139.75
"2016-05-30";140.75
"2016-06-06";141.5
"2016-06-13";142.0
"2016-06-20";142.0
"2016-06-27";142.0
"2016-07-04";143.0
"2016-07-11";142.3
"2016-07-18";142.0
"2016-07-25";141.0
"2016-08-01";139.0
"2016-08-08";138.0
"2016-08-15";140.0
"2016-08-22";140.0
"2016-08-29";142.0
"2016-09-05";141.0
"2016-09-12";141.0
"2016-09-19";143.0
"2016-09-26";144.0
"2016-10-03";145.0
"2016-10-10";145.0
"2016-10-17";144.0
"2016-10-24";143.0
"2016-10-31";142.0
"2016-11-07";140.0
"2016-11-14";141.0
"2016-11-21";140.0
"2016-11-28";138.0
"2016-12-05";137.5
"2016-12-12";136.0
"2016-12-19";136.0
"2016-12-26";136.0
"2017-01-02";138.0
"2017-01-09";138.0
"2017-01-16";138.0
"2017-01-23";137.0
"2017-01-30";135.0
"2017-02-06";135.0
"2017-02-13";135.0
"2017-02-20";135.0
"2017-02-27";136.0
"2017-03-06";135.0
"2017-03-13";135.0
"2017-03-20";134.0
"2017-03-27";134.0
"2017-04-03";128.0
"2017-04-10";128.0
"2017-04-17";132.0
"2017-04-24";130.0
"2017-05-01";130.0
"2017-05-08";129.0
"2017-05-15";128.0
"2017-05-22";126.0
"2017-05-29";124.0
"2017-06-05";124.0
"2017-06-12";124.0
"2017-06-19";124.0
"2017-06-26";123.0
"2017-07-03";120.39
"2017-07-10";120.19
"2017-07-17";118.0
"2017-07-24";118.0
"2017-07-31";118.0
"2017-08-07";118.0
"2017-08-14";126.67
"2017-08-21";132.0
"2017-08-28";135.0
"2017-09-04";140.0
"2017-09-11";140.0
"2017-09-18";124.67
"2017-09-25";130.9
"2017-10-02";137.28
"2017-10-09";134.44
"2017-10-16";128.31
"2017-10-23";129.5
"2017-10-30";131.5
"2017-11-06";135.17
"2017-11-13";134.75
"2017-11-20";134.75
"2017-11-27";135.74
"2017-12-04";135.74
"2017-12-11";135.97
"2017-12-18";135.82
"2017-12-25";134.79
"2018-01-01";135.7
"2018-01-08";134.7
"2018-01-15";134.7
"2018-01-22";135.12
"2018-01-29";134.55
"2018-02-05";135.58
"2018-02-12";135.58
"2018-02-19";134.58
"2018-02-26";134.58
"2018-03-05";134.58
"2018-03-12";134.58
"2018-03-19";135.58
"2018-03-26";135.58
"2018-04-02";135.94
"2018-04-09";135.94
"2018-04-16";134.58
"2018-04-23";134.64
"2018-04-30";134.64
"2018-05-07";133.17
"2018-05-14";132.28
"2018-05-21";130.81
"2018-05-28";130.81
"2018-06-04";130.19
"2018-06-11";130.19
"2018-06-18";128.93
"2018-06-25";128.93
"2018-07-02";132.36
"2018-07-09";132.58
"2018-07-16";135.71
"2018-07-23";135.71
"2018-07-30";136.67
"2018-08-06";136.67
"2018-08-13";139.81
"2018-08-20";139.81
"2018-08-27";139.74
"2018-09-03";139.74
"2018-09-10";142.91
"2018-09-17";142.91
"2018-09-24";146.53
"2018-10-01";146.53
"2018-10-08";146.88
"2018-10-15";146.88
"2018-10-22";145.58
"2018-10-29";145.58
"2018-11-05";145.48
"2018-11-12";145.48
"2018-11-19";145.28
"2018-11-26";145.28
"2018-12-03";145.03
"2018-12-10";144.92
"2018-12-17";142.47
"2018-12-24";142.47
"2018-12-31";144.65
"2019-01-07";144.65
"2019-01-14";141.12
"2019-01-21";140.93
"2019-01-28";142.64
"2019-02-04";142.64
"2019-02-11";142.64
"2019-02-18";141.93
"2019-02-25";142.27
"2019-03-04";142.27
"2019-03-11";143.74
"2019-03-18";143.74
"2019-03-25";144.66
"2019-04-01";144.66
"2019-04-08";145.71
"2019-04-15";145.71
"2019-04-22";144.23
"2019-04-29";144.23
"2019-05-06";144.78
"2019-05-13";144.78
"2019-05-20";143.53
"2019-05-27";143.53
"2019-06-03";139.93
"2019-06-10";139.93
"2019-06-17";142.13
"2019-06-24";142.13
"2019-07-01";144.54
"2019-07-08";144.54
"2019-07-15";143.91
"2019-07-22";143.91
"2019-07-29";143.88
"2019-08-05";143.88
"2019-08-12";145.35
"2019-08-19";145.35
"2019-08-26";147.17
"2019-09-02";147.17
"2019-09-09";148.39
"2019-09-16";148.39
"2019-09-23";150.93
"2019-09-30";150.93
"2019-10-07";155.97
"2019-10-14";155.97
"2019-10-21";158.96
"2019-10-28";160.31
"2019-11-04";168.39
"2019-11-11";168.39
"2019-11-18";204.64
"2019-11-25";210.8
"2019-12-02";197.78
"2019-12-09";186.12
"2019-12-16";186.12
"2019-12-23";188.36
"2019-12-30";181.7
"2020-01-06";185.0
"2020-01-13";185.0
"2020-01-20";171.87
"2020-01-27";171.87
"2020-02-03";187.6
"2020-02-10";187.6
"2020-02-17";187.6
"2020-02-24";187.6
"2020-03-02";187.6
"2020-03-09";189.33
"2020-03-16";189.33
"2020-03-23";188.83
"2020-03-30";188.83
"2020-04-06";184.51
"2020-04-13";184.51
"2020-04-20";178.36
"2020-04-27";178.05
"2020-05-04";178.27
"2020-05-11";178.27
"2020-05-18";177.05
"2020-05-25";177.05
"2020-06-01";182.6
"2020-06-08";182.6
"2020-06-15";194.47
"2020-06-22";194.47
"2020-06-29";195.01
"2020-07-06";198.47
"2020-07-13";202.47
"2020-07-20";202.47
"2020-07-27";209.03
"2020-08-03";207.23
"2020-08-10";215.09
"2020-08-17";216.12
"2020-08-24";220.97
"2020-08-31";230.54
"2020-09-07";232.08
"2020-09-14";242.08
"2020-09-21";242.08
"2020-09-28";245.0
"2020-10-05";245.67
"2020-10-12";250.98
"2020-10-19";255.34
"2020-10-26";257.08
"2020-11-02";271.5
"2020-11-09";277.67
"2020-11-16";267.67
"2020-11-23";257.94
"2020-11-30";257.94
"2020-12-07";242.86
"2020-12-14";235.0
"2020-12-21";235.0
"2020-12-28";235.0
"2021-01-04";253.83
"2021-01-11";263.83
"2021-01-18";273.83
"2021-01-25";278.83
"2021-02-01";287.92
"2021-02-08";285.0
"2021-02-15";278.44
"2021-02-22";281.56
"2021-03-01";281.56
"2021-03-08";282.68
"2021-03-15";288.65
"2021-03-22";291.56
"2021-03-29";296.17
"2021-04-05";298.88
"2021-04-12";303.88
"2021-04-19";303.88
"2021-04-26";297.32
"2021-05-03";295.0
"2021-05-10";295.0
"2021-05-17";298.88
"2021-05-24";297.32
"2021-05-31";297.32
"2021-06-07";302.68
"2021-06-14";311.12
"2021-06-21";311.12
"2021-06-28";306.35
"2021-07-05";311.35
"2021-07-12";311.35
"2021-07-19";312.92
"2021-07-26";314.03
"2021-08-02";315.0
"2021-08-09";315.0
"2021-08-16";316.35
"2021-08-23";310.44
"2021-08-30";306.5
"2021-09-06";306.95
"2021-09-13";291.82
"2021-09-20";292.47
"2021-09-27";289.35
"2021-10-04";279.03
"2021-10-11";274.56
"2021-10-18";270.0
"2021-10-25";260.0
"2021-11-01";260.0
"2021-11-08";276.64
"2021-11-15";299.41
"2021-11-22";306.15
"2021-11-29";312.47
"2021-12-06";307.92
"2021-12-13";297.47
"2021-12-20";312.47
"2021-12-27";320.0
"2022-01-03";317.53
"2022-01-10";315.34
"2022-01-17";315.0
"2022-01-24";309.76
"2022-01-31";309.76
"2022-02-07";309.76
"2022-02-14";309.76
"2022-02-21";309.03
"2022-02-28";309.03
"2022-03-07";309.03
"2022-03-14";309.03
"2022-03-21";310.0
"2022-03-28";303.65
"2022-04-04";298.26
"2022-04-11";298.07
"2022-04-18";293.44
"2022-04-25";293.44
"2022-05-02";294.41
"2022-05-09";292.47
"2022-05-16";291.12
"2022-05-23";284.17
"2022-05-30";276.12
"2022-06-06";282.24
"2022-06-13";292.08
"2022-06-20";297.08
"2022-06-27";295.0
"2022-07-04";295.0
"2022-07-11";292.95
"2022-07-18";283.88
"2022-07-25";290.0
"2022-08-01";288.88
"2022-08-08";286.2
"2022-08-15";282.76
"2022-08-22";281.2
"2022-08-29";281.2
"2022-09-05";273.88
"2022-09-12";275.0
"2022-09-19";275.0
"2022-09-26";266.0
"2022-10-03";264.45
"2022-10-10";262.92
"2022-10-17";271.35
"2022-10-24";260.59
"2022-10-31";255.45
"2022-11-07";253.82
"2022-11-14";260.0
"2022-11-21";260.0
"2022-11-28";257.5
"2022-12-05";257.5
"2022-12-12";258.28
"2022-12-19";260.0
"2022-12-26";260.69
"2023-01-02";260.0
"2023-01-09";254.69
"2023-01-16";250.0
