"Semana.Semana";MILHO/EM GRÃOS/MS/Preco Medio Comercializado
"2013-12-30";18.18
"2014-01-06";18.52
"2014-01-13";18.72
"2014-01-20";18.73
"2014-01-27";18.45
"2014-02-03";18.68
"2014-02-10";20.11
"2014-02-17";21.43
"2014-02-24";22.4
"2014-03-03";24.19
"2014-03-10";24.42
"2014-03-17";24.67
"2014-03-24";23.6
"2014-03-31";22.68
"2014-04-07";23.26
"2014-04-14";23.33
"2014-04-21";23.15
"2014-04-28";23.42
"2014-05-05";22.75
"2014-05-12";21.4
"2014-05-19";20.65
"2014-05-26";19.88
"2014-06-02";19.96
"2014-06-09";19.39
"2014-06-16";18.7
"2014-06-23";17.81
"2014-06-30";17.27
"2014-07-07";16.68
"2014-07-14";16.54
"2014-07-21";16.36
"2014-07-28";16.1
"2014-08-04";16.01
"2014-08-11";15.99
"2014-08-18";16.39
"2014-08-25";16.18
"2014-09-01";16.32
"2014-09-08";15.99
"2014-09-15";15.75
"2014-09-22";15.59
"2014-09-29";15.91
"2014-10-06";16.15
"2014-10-13";16.64
"2014-10-20";17.29
"2014-10-27";19.2
"2014-11-03";19.74
"2014-11-10";20.22
"2014-11-17";20.68
"2014-11-24";21.04
"2014-12-01";20.54
"2014-12-08";20.4
"2014-12-15";20.32
"2014-12-22";20.32
"2014-12-29";20.46
"2015-01-05";20.71
"2015-01-12";20.4
"2015-01-19";19.79
"2015-01-26";19.4
"2015-02-02";19.1
"2015-02-09";19.93
"2015-02-16";20.21
"2015-02-23";20.23
"2015-03-02";20.98
"2015-03-09";21.22
"2015-03-16";21.56
"2015-03-23";20.96
"2015-03-30";21.63
"2015-04-06";21.6
"2015-04-13";20.49
"2015-04-20";20.16
"2015-04-27";19.68
"2015-05-04";18.44
"2015-05-11";18.14
"2015-05-18";17.62
"2015-05-25";17.52
"2015-06-01";17.52
"2015-06-08";17.5
"2015-06-15";16.97
"2015-06-22";17.48
"2015-06-29";17.63
"2015-07-06";18.61
"2015-07-13";19.02
"2015-07-20";18.77
"2015-07-27";18.72
"2015-08-03";18.44
"2015-08-10";18.63
"2015-08-17";18.22
"2015-08-24";18.69
"2015-08-31";20.07
"2015-09-07";20.96
"2015-09-14";21.72
"2015-09-21";23.09
"2015-09-28";24.01
"2015-10-05";23.45
"2015-10-12";22.76
"2015-10-19";23.16
"2015-10-26";23.34
"2015-11-02";23.71
"2015-11-09";23.69
"2015-11-16";23.43
"2015-11-23";22.9
"2015-11-30";23.82
"2015-12-07";24.45
"2015-12-14";24.59
"2015-12-21";25.09
"2015-12-28";24.71
"2016-01-04";26.51
"2016-01-11";31.58
"2016-01-18";32.7
"2016-01-25";33.18
"2016-02-01";32.96
"2016-02-08";33.03
"2016-02-15";34.55
"2016-02-22";34.61
"2016-02-29";34.81
"2016-03-07";35.92
"2016-03-14";38.3
"2016-03-21";39.17
"2016-03-28";39.43
"2016-04-04";40.56
"2016-04-11";40.74
"2016-04-18";41.91
"2016-04-25";44.04
"2016-05-02";45.58
"2016-05-09";46.21
"2016-05-16";46.02
"2016-05-23";45.98
"2016-05-30";46.54
"2016-06-06";45.87
"2016-06-13";41.55
"2016-06-20";35.22
"2016-06-27";32.14
"2016-07-04";30.47
"2016-07-11";30.96
"2016-07-18";34.05
"2016-07-25";37.55
"2016-08-01";36.75
"2016-08-08";36.01
"2016-08-15";35.1
"2016-08-22";34.76
"2016-08-29";33.14
"2016-09-05";30.72
"2016-09-12";30.66
"2016-09-19";31.15
"2016-09-26";31.58
"2016-10-03";32.42
"2016-10-10";33.65
"2016-10-17";32.91
"2016-10-24";31.64
"2016-10-31";30.78
"2016-11-07";29.95
"2016-11-14";28.43
"2016-11-21";28.15
"2016-11-28";28.3
"2016-12-05";28.48
"2016-12-12";29.0
"2016-12-19";28.95
"2016-12-26";28.54
"2017-01-02";27.31
"2017-01-09";27.03
"2017-01-16";26.62
"2017-01-23";26.06
"2017-01-30";25.75
"2017-02-06";25.35
"2017-02-13";25.32
"2017-02-20";23.37
"2017-02-27";24.2
"2017-03-06";24.57
"2017-03-13";24.53
"2017-03-20";24.35
"2017-03-27";21.95
"2017-04-03";21.15
"2017-04-10";19.51
"2017-04-17";19.04
"2017-04-24";19.0
"2017-05-01";20.0
"2017-05-08";20.46
"2017-05-15";20.9
"2017-05-22";20.59
"2017-05-29";19.84
"2017-06-05";19.51
"2017-06-12";19.44
"2017-06-19";17.8
"2017-06-26";17.23
"2017-07-03";16.38
"2017-07-10";16.39
"2017-07-17";16.21
"2017-07-24";15.96
"2017-07-31";15.37
"2017-08-07";15.45
"2017-08-14";15.96
"2017-08-21";15.45
"2017-08-28";17.74
"2017-09-04";17.99
"2017-09-11";18.96
"2017-09-18";19.18
"2017-09-25";20.5
"2017-10-02";20.88
"2017-10-09";21.15
"2017-10-16";21.23
"2017-10-23";21.22
"2017-10-30";21.65
"2017-11-06";22.25
"2017-11-13";22.34
"2017-11-20";22.93
"2017-11-27";22.68
"2017-12-04";22.34
"2017-12-11";21.83
"2017-12-18";21.99
"2017-12-25";22.0
"2018-01-01";22.39
"2018-01-08";23.09
"2018-01-15";23.0
"2018-01-22";22.49
"2018-01-29";22.44
"2018-02-05";22.56
"2018-02-12";22.7
"2018-02-19";23.05
"2018-02-26";26.1
"2018-03-05";26.9
"2018-03-12";29.96
"2018-03-19";31.05
"2018-03-26";31.9
"2018-04-02";32.21
"2018-04-09";31.24
"2018-04-16";31.83
"2018-04-23";31.46
"2018-04-30";30.61
"2018-05-07";31.21
"2018-05-14";33.12
"2018-05-21";32.85
"2018-05-28";33.7
"2018-06-04";33.63
"2018-06-11";30.44
"2018-06-18";28.33
"2018-06-25";27.04
"2018-07-02";26.74
"2018-07-09";26.91
"2018-07-16";27.26
"2018-07-23";27.32
"2018-07-30";28.88
"2018-08-06";31.2
"2018-08-13";31.64
"2018-08-20";32.3
"2018-08-27";32.09
"2018-09-03";32.18
"2018-09-10";31.95
"2018-09-17";31.26
