"Semana.Semana";BOI/GORDO/MT/Preco Medio Comercializado
"2013-12-30";96.53
"2014-01-06";96.96
"2014-01-13";98.82
"2014-01-20";98.63
"2014-01-27";98.46
"2014-02-03";98.98
"2014-02-10";100.28
"2014-02-17";100.28
"2014-02-24";103.4
"2014-03-03";103.88
"2014-03-10";103.88
"2014-03-17";109.42
"2014-03-24";109.42
"2014-03-31";113.44
"2014-04-07";113.03
"2014-04-14";112.85
"2014-04-21";112.85
"2014-04-28";113.51
"2014-05-05";113.55
"2014-05-12";113.55
"2014-05-19";113.55
"2014-05-26";109.05
"2014-06-02";109.05
"2014-06-09";112.44
"2014-06-16";113.04
"2014-06-23";113.41
"2014-06-30";112.15
"2014-07-07";112.2
"2014-07-14";111.9
"2014-07-21";111.9
"2014-07-28";110.53
"2014-08-04";110.91
"2014-08-11";111.53
"2014-08-18";112.92
"2014-08-25";114.54
"2014-09-01";114.76
"2014-09-08";115.74
"2014-09-15";115.74
"2014-09-22";115.84
"2014-09-29";116.33
"2014-10-06";117.41
"2014-10-13";117.39
"2014-10-20";117.07
"2014-10-27";121.44
"2014-11-03";122.82
"2014-11-10";127.64
"2014-11-17";128.62
"2014-11-24";128.98
"2014-12-01";129.03
"2014-12-08";129.19
"2014-12-15";130.9
"2014-12-22";130.9
"2014-12-29";131.28
"2015-01-05";130.96
"2015-01-12";131.3
"2015-01-19";131.37
"2015-01-26";131.69
"2015-02-02";131.71
"2015-02-09";131.54
"2015-02-16";131.54
"2015-02-23";131.75
"2015-03-02";131.35
"2015-03-09";131.52
"2015-03-16";131.58
"2015-03-23";132.32
"2015-03-30";132.25
"2015-04-06";133.77
"2015-04-13";135.14
"2015-04-20";135.88
"2015-04-27";135.99
"2015-05-04";136.02
"2015-05-11";137.49
"2015-05-18";136.15
"2015-05-25";136.76
"2015-06-01";136.19
"2015-06-08";136.55
"2015-06-15";135.41
"2015-06-22";134.04
"2015-06-29";134.15
"2015-07-06";133.78
"2015-07-13";132.08
"2015-07-20";132.25
"2015-07-27";126.37
"2015-08-03";125.63
"2015-08-10";125.28
"2015-08-17";125.86
"2015-08-24";126.05
"2015-08-31";126.13
"2015-09-07";126.5
"2015-09-14";127.32
"2015-09-21";127.14
"2015-09-28";127.89
"2015-10-05";128.57
"2015-10-12";128.65
"2015-10-19";128.5
"2015-10-26";128.9
"2015-11-02";129.26
"2015-11-09";129.69
"2015-11-16";130.12
"2015-11-23";129.67
"2015-11-30";129.37
"2015-12-07";129.25
"2015-12-14";129.69
"2015-12-21";129.01
"2015-12-28";129.01
"2016-01-04";129.1
"2016-01-11";129.22
"2016-01-18";129.22
"2016-01-25";129.72
"2016-02-01";130.94
"2016-02-08";130.82
"2016-02-15";132.31
"2016-02-22";132.23
"2016-02-29";132.1
"2016-03-07";132.04
"2016-03-14";133.21
"2016-03-28";131.51
"2016-04-04";131.51
"2016-04-11";131.51
"2016-04-18";131.51
"2016-04-25";131.51
"2016-05-30";133.52
"2016-06-06";133.52
"2016-06-13";133.52
"2016-06-20";133.52
"2016-06-27";133.21
"2016-07-04";131.98
"2016-07-11";131.98
"2016-07-18";131.98
"2016-07-25";131.98
"2016-08-01";131.02
"2016-08-08";131.02
"2016-08-15";131.02
"2016-08-22";131.02
"2016-08-29";133.38
"2016-10-03";138.15
"2016-10-10";136.0
"2016-10-17";136.0
"2016-10-24";136.0
"2016-10-31";134.5
"2016-11-07";134.5
"2016-11-14";134.5
"2016-11-21";134.5
"2016-11-28";134.5
"2016-12-05";129.02
"2016-12-12";128.77
"2016-12-19";128.77
"2016-12-26";128.77
"2017-01-09";129.34
"2017-01-16";129.34
"2017-02-06";125.77
"2017-02-13";126.3
"2017-02-20";125.8
"2017-02-27";126.21
"2017-03-06";126.61
"2017-03-13";126.61
"2017-03-20";125.37
"2017-03-27";123.96
"2017-04-03";124.2
"2017-04-10";124.2
"2017-04-17";125.75
"2017-04-24";125.75
"2017-05-01";126.3
"2017-05-08";126.3
"2017-05-15";125.12
"2017-05-22";124.12
"2017-05-29";124.31
"2017-06-05";124.31
"2017-06-12";124.31
"2017-06-19";124.31
"2017-06-26";121.59
"2017-07-03";121.59
"2017-07-10";121.59
"2017-07-17";121.59
"2017-07-24";118.71
"2017-07-31";118.71
"2017-08-07";118.71
"2017-08-14";116.71
"2017-08-21";116.71
"2017-08-28";127.71
"2017-09-04";132.6
"2017-09-11";134.6
"2017-09-18";134.6
"2017-09-25";135.31
"2017-10-02";135.31
"2017-10-09";135.31
"2017-10-16";135.31
"2017-10-23";135.31
"2017-10-30";135.31
"2017-11-06";129.31
"2017-11-13";129.31
"2017-11-20";129.31
"2017-11-27";129.31
"2017-12-04";129.31
"2017-12-11";129.31
"2017-12-18";129.31
"2018-01-08";133.67
"2018-01-15";133.67
"2018-01-22";133.67
"2018-01-29";133.67
"2018-02-05";133.67
"2018-02-12";133.67
"2018-02-19";133.67
"2018-02-26";133.67
"2018-03-05";131.67
"2018-03-12";131.67
"2018-03-19";131.67
"2018-03-26";131.67
"2018-04-02";132.85
"2018-04-09";132.85
"2018-04-16";132.85
"2018-04-23";132.85
"2018-04-30";127.73
"2018-05-07";129.14
"2018-05-14";129.14
"2018-05-21";129.14
"2018-05-28";129.14
"2018-06-04";125.54
"2018-06-11";125.4
"2018-06-18";125.4
"2018-06-25";125.4
"2018-07-02";124.84
"2018-07-09";125.04
"2018-07-16";125.04
