"Semana.Semana";LEITE DE VACA/IN NATURA/MG/Preco Medio Comercializado
"2015-11-09";1.05
"2015-11-16";1.05
"2015-11-23";1.04
"2015-11-30";1.04
"2015-12-07";1.04
"2015-12-14";1.04
"2015-12-21";1.04
"2015-12-28";1.04
"2016-01-04";1.04
"2016-01-11";1.04
"2016-01-18";1.04
"2016-01-25";1.04
"2016-02-01";1.04
"2016-02-08";1.04
"2016-02-15";1.04
"2016-02-22";1.06
"2016-02-29";1.06
"2016-03-07";1.06
"2016-03-14";1.06
"2016-03-21";1.11
"2016-03-28";1.11
"2016-04-04";1.11
"2016-04-11";1.11
"2016-04-18";1.11
"2016-04-25";1.17
"2016-05-30";1.27
"2016-06-06";1.27
"2016-06-13";1.27
"2016-06-20";1.27
"2016-06-27";1.3
"2016-07-04";1.39
"2016-07-11";1.39
"2016-07-18";1.39
"2016-07-25";1.39
"2016-08-01";1.68
"2016-08-08";1.68
"2016-08-15";1.68
"2016-08-22";1.68
"2016-08-29";1.68
"2016-10-31";1.42
"2016-11-07";1.42
"2016-11-14";1.42
"2016-11-21";1.42
"2016-11-28";1.34
"2017-01-30";1.28
"2017-02-06";1.28
"2017-02-13";1.28
"2017-02-20";1.28
"2017-02-27";1.31
"2017-03-06";1.31
"2017-03-13";1.31
"2017-03-20";1.31
"2017-03-27";1.31
"2017-04-03";1.37
"2017-04-10";1.37
"2017-04-17";1.37
"2017-04-24";1.37
"2017-05-01";1.43
"2017-05-08";1.43
"2017-05-15";1.43
"2017-05-22";1.43
"2017-05-29";1.41
"2017-06-05";1.38
"2017-06-12";1.38
"2017-06-19";1.38
"2017-06-26";1.38
"2017-07-03";1.41
"2017-07-10";1.41
"2017-07-17";1.41
"2017-07-24";1.41
"2017-07-31";1.37
"2017-08-07";1.36
"2017-08-14";1.36
"2017-08-21";1.36
"2017-08-28";1.36
"2017-09-04";1.35
"2017-09-11";1.35
"2017-09-18";1.35
"2017-09-25";1.35
"2017-10-02";1.18
"2017-10-09";1.18
"2017-10-16";1.18
"2017-10-23";1.18
"2017-10-30";1.19
"2017-11-06";1.19
"2017-11-13";1.19
"2017-11-20";1.19
"2017-11-27";1.19
"2017-12-04";1.19
"2017-12-11";1.19
"2017-12-18";1.19
"2017-12-25";1.19
"2018-01-01";1.15
"2018-01-08";1.15
"2018-01-15";1.15
"2018-01-22";1.15
"2018-01-29";1.15
"2018-02-05";1.16
"2018-02-12";1.16
"2018-02-19";1.16
"2018-02-26";1.16
"2018-03-05";1.2
"2018-03-12";1.2
"2018-03-19";1.2
"2018-03-26";1.2
"2018-04-02";1.24
"2018-04-09";1.24
"2018-04-16";1.24
"2018-04-23";1.24
"2018-04-30";1.28
"2018-05-07";1.29
"2018-05-14";1.29
"2018-05-21";1.29
"2018-05-28";1.29
"2018-06-04";1.32
"2018-06-11";1.32
"2018-06-18";1.32
"2018-06-25";1.32
"2018-07-02";1.46
"2018-07-09";1.46
"2018-07-16";1.46
"2018-07-23";1.46
"2018-07-30";1.52
"2018-08-06";1.56
"2018-08-13";1.56
"2018-08-20";1.56
"2018-08-27";1.56
"2018-09-03";1.59
"2018-09-10";1.59
"2018-09-17";1.59
"2018-09-24";1.59
"2018-10-01";1.54
"2018-10-08";1.54
"2018-10-15";1.54
"2018-10-22";1.54
"2018-10-29";1.54
"2018-11-05";1.51
"2018-11-12";1.51
"2018-11-19";1.51
"2018-11-26";1.51
"2018-12-03";1.51
"2018-12-10";1.51
"2018-12-17";1.51
"2018-12-24";1.51
"2018-12-31";1.39
"2019-01-07";1.26
"2019-01-14";1.26
"2019-01-21";1.26
"2019-01-28";1.26
"2019-02-04";1.47
"2019-02-11";1.47
"2019-02-18";1.47
"2019-02-25";1.47
"2019-03-04";1.49
"2019-03-11";1.49
"2019-03-18";1.49
"2019-03-25";1.49
"2019-04-01";1.48
"2019-04-08";1.48
"2019-04-15";1.48
"2019-04-22";1.48
"2019-04-29";1.51
"2019-05-06";1.51
"2019-05-13";1.51
"2019-05-20";1.51
"2019-05-27";1.51
"2019-06-03";1.53
"2019-06-10";1.53
"2019-06-17";1.53
"2019-06-24";1.53
"2019-07-01";1.44
"2019-07-08";1.44
"2019-07-15";1.44
"2019-07-22";1.44
"2019-07-29";1.44
"2019-08-05";1.44
"2019-08-12";1.44
"2019-08-19";1.44
"2019-08-26";1.44
"2019-09-02";1.43
"2019-09-09";1.43
"2019-09-16";1.43
"2019-09-23";1.43
"2019-09-30";1.45
"2019-10-07";1.44
"2019-10-14";1.44
"2019-10-21";1.44
"2019-10-28";1.44
"2019-11-04";1.44
"2019-11-11";1.44
"2019-11-18";1.44
"2019-11-25";1.44
