"Semana.Semana";MILHO/EM GRÃOS/MT/Preco Medio Comercializado
"2013-12-30";14.85
"2014-01-06";15.28
"2014-01-13";15.35
"2014-01-20";16.04
"2014-01-27";16.37
"2014-02-03";16.32
"2014-02-10";16.35
"2014-02-17";16.4
"2014-02-24";16.28
"2014-03-03";17.38
"2014-03-10";17.38
"2014-03-17";18.53
"2014-03-24";18.53
"2014-03-31";19.56
"2014-04-07";20.64
"2014-04-14";20.87
"2014-04-21";20.87
"2014-04-28";20.68
"2014-05-05";20.79
"2014-05-12";20.51
"2014-05-19";20.79
"2014-05-26";18.1
"2014-06-02";18.07
"2014-06-09";17.73
"2014-06-16";17.4
"2014-06-23";13.18
"2014-06-30";12.98
"2014-07-07";12.34
"2014-07-14";12.24
"2014-07-21";12.64
"2014-07-28";12.41
"2014-08-04";12.61
"2014-08-11";12.64
"2014-08-18";12.72
"2014-08-25";12.54
"2014-09-01";12.32
"2014-09-08";12.22
"2014-09-15";12.2
"2014-09-22";12.25
"2014-09-29";12.47
"2014-10-06";12.84
"2014-10-13";13.16
"2014-10-20";13.94
"2014-10-27";14.55
"2014-11-03";15.05
"2014-11-10";15.76
"2014-11-17";16.17
"2014-11-24";16.08
"2014-12-01";16.4
"2014-12-08";16.3
"2014-12-15";16.56
"2014-12-22";16.53
"2014-12-29";16.48
"2015-01-05";16.66
"2015-01-12";16.49
"2015-01-19";16.5
"2015-01-26";15.94
"2015-02-02";15.92
"2015-02-09";16.23
"2015-02-16";16.35
"2015-02-23";16.11
"2015-03-02";16.14
"2015-03-09";16.83
"2015-03-16";17.05
"2015-03-23";16.98
"2015-03-30";17.03
"2015-04-06";16.82
"2015-04-13";16.44
"2015-04-20";16.25
"2015-04-27";15.85
"2015-05-04";16.03
"2015-05-11";15.92
"2015-05-18";15.85
"2015-05-25";15.82
"2015-06-01";15.74
"2015-06-08";15.88
"2015-06-15";15.82
"2015-06-22";15.02
"2015-06-29";15.36
"2015-07-06";15.63
"2015-07-13";15.89
"2015-07-20";16.16
"2015-07-27";15.97
"2015-08-03";15.95
"2015-08-10";16.17
"2015-08-17";16.12
"2015-08-24";16.19
"2015-08-31";16.33
"2015-09-07";16.91
"2015-09-14";17.49
"2015-09-21";17.83
"2015-09-28";18.14
"2015-10-05";18.35
"2015-10-12";18.24
