"Semana.Semana";SOJA/EM GRÃOS/MT/Preco Medio Comercializado
"2013-12-30";59.4
"2014-01-06";54.44
"2014-01-13";51.63
"2014-01-20";51.81
"2014-01-27";52.22
"2014-02-03";51.63
"2014-02-10";52.02
"2014-02-17";52.02
"2014-02-24";52.96
"2014-03-03";53.82
"2014-03-10";53.82
"2014-03-17";53.65
"2014-03-24";53.65
"2014-03-31";53.36
"2014-04-07";54.1
"2014-04-14";55.5
"2014-04-21";55.5
"2014-04-28";55.44
"2014-05-05";55.32
"2014-05-12";55.32
"2014-05-19";55.72
"2014-05-26";58.6
"2014-06-02";58.6
"2014-06-09";57.63
"2014-06-16";55.47
"2014-06-23";55.03
"2014-06-30";54.27
"2014-07-07";53.23
"2014-07-14";53.97
"2014-07-21";53.97
"2014-07-28";54.91
"2014-08-04";55.42
"2014-08-11";56.6
"2014-08-18";56.15
"2014-08-25";56.38
"2014-09-01";55.04
"2014-09-08";53.41
"2014-09-15";53.37
"2014-09-22";52.47
"2014-09-29";52.67
"2014-10-06";52.67
"2014-10-13";51.82
"2014-10-20";52.93
"2014-10-27";55.35
"2014-11-03";54.56
"2014-11-10";56.7
"2014-11-17";56.76
"2014-11-24";56.46
"2014-12-01";55.14
"2014-12-08";56.34
"2014-12-15";57.6
"2014-12-22";56.92
"2014-12-29";56.92
"2015-01-05";56.5
"2015-01-12";53.08
"2015-01-19";51.28
"2015-01-26";50.92
"2015-02-02";50.11
"2015-02-09";50.61
"2015-02-16";50.61
"2015-02-23";53.28
"2015-03-02";53.53
"2015-03-09";55.48
"2015-03-16";56.37
"2015-03-23";56.47
"2015-03-30";56.77
"2015-04-06";56.43
"2015-04-13";55.08
"2015-04-20";55.72
"2015-04-27";53.83
"2015-05-04";54.45
"2015-05-11";54.58
"2015-05-18";52.91
"2015-05-25";52.83
"2015-06-01";53.9
"2015-06-08";53.13
"2015-06-15";53.81
"2015-06-22";54.81
"2015-06-29";55.93
"2015-07-06";55.78
"2015-07-13";56.65
"2015-07-20";57.57
"2015-07-27";58.64
"2015-08-03";60.22
"2015-08-10";59.08
"2015-08-17";58.35
"2015-08-24";59.9
"2015-08-31";63.78
"2015-09-07";64.7
"2015-09-14";67.14
"2015-09-21";68.8
"2015-09-28";68.57
"2015-10-05";67.15
"2015-10-12";66.76
"2015-10-19";69.01
"2015-10-26";67.76
"2015-11-02";66.53
"2015-11-09";64.79
"2015-11-16";64.96
"2015-11-23";64.43
"2015-11-30";65.53
"2015-12-07";64.44
"2015-12-14";64.74
"2015-12-21";65.61
"2015-12-28";65.56
"2016-01-04";65.95
"2016-01-11";66.49
"2016-01-18";66.68
"2016-01-25";66.02
"2016-02-01";62.79
"2016-02-08";62.64
"2016-02-15";64.35
"2016-02-22";62.6
"2016-02-29";61.09
"2016-03-07";58.91
"2016-03-14";59.16
"2016-03-21";59.12
"2016-03-28";59.52
"2016-04-04";60.11
"2016-04-11";60.03
"2016-04-18";62.59
"2016-04-25";67.29
"2016-05-02";69.31
"2016-05-09";72.84
"2016-05-16";75.75
"2016-05-23";79.4
"2016-05-30";81.97
"2016-06-06";84.03
"2016-06-13";84.49
"2016-06-20";81.54
"2016-06-27";78.56
"2016-07-04";76.01
"2016-07-11";75.64
"2016-07-18";73.74
"2016-07-25";70.9
"2016-08-01";69.54
"2016-08-08";69.26
"2016-08-15";73.13
"2016-08-22";71.25
"2016-08-29";69.13
"2016-09-05";68.39
"2016-09-12";70.27
"2016-09-19";71.44
"2016-09-26";70.35
"2016-10-03";71.41
"2016-10-10";70.79
"2016-10-17";71.23
"2016-10-24";71.02
"2016-10-31";69.24
"2016-11-07";67.25
"2016-11-14";67.12
"2016-11-21";66.61
"2016-11-28";66.64
"2016-12-05";66.08
"2016-12-12";66.12
"2016-12-19";64.89
"2016-12-26";64.84
"2017-01-02";64.99
"2017-01-09";60.91
"2017-01-16";62.98
"2017-01-23";62.37
"2017-01-30";58.97
"2017-02-06";59.89
"2017-02-13";59.52
"2017-02-20";58.36
"2017-02-27";57.96
"2017-03-06";57.76
"2017-03-13";56.33
"2017-03-20";54.77
"2017-03-27";52.53
"2017-04-03";49.91
"2017-04-10";50.78
"2017-04-17";51.39
